marketplace;sku;marketplaceId
ozon;M01TEXT10102_2;1252288166
ozon;М221021;2806797663
ozon;PL9001;1608634065
ozon;PL9014;1350013423
ozon;PL9008;846311203
ozon;PL9012;1165865781
ozon;PL9016;1056043458
ozon;TE5109L TE5023R;1629003880
ozon;TE5020R TE5020L;1696789471
ozon;GFKIT0002;3004513354
ozon;GFKIT0003;3004517006
ozon;GFKIT0004;3004518214
ozon;GFKIT0005;3004519293
ozon;GFKIT0006;3004522614
ozon;GBKIT0001;3004529175
ozon;GBKIT0002;3004534460
ozon;GBKIT0003;3004536649
ozon;GBKIT0004;3007415075
ozon;GBKIT0005;3007420173
ozon;GBKIT0006;3007427166
ozon;GBKIT0007;3007429775
ozon;MV1119R;396363730
ozon;MV1028F;809443427
ozon;MV1120R;175377398
ozon;MV1029F;2515599865
ozon;М241026C;1829792507
ozon;М241030;1254539431
ozon;М241028C;2859985189
ozon;М241029;2860045257
ozon;М241027;2859980658
ozon;М241025C;2859895476
ozon;М241023;2859838555
ozon;М241024C;2859856383
ozon;М221023;2860059411
ozon;R1012F;405444491
ozon;R1016F;1851216175
ozon;R1025F;2187706268
ozon;R1115R;1852738283
ozon;R1116R;396363575
ozon;R1132R;1418156336
ozon;R1130R;1418374565
ozon;R1131R;1421011875
ozon;R1011F;396363775
ozon;R1028F;2747458757
ozon;R1029F;571184168
ozon;D911023;1585975246
ozon;D911022;660070364
ozon;MCC0001;2929281177
ozon;MCC0003;2929281057
ozon;MCC0002;2929280866
ozon;MCC0004;2929281083
ozon;MCC0005L;2929280589
ozon;D921004;2807355254
ozon;D921005;2807355194
ozon;D921006;2807355177
ozon;D921007;2807355333
ozon;D921008;2807355305
ozon;D921009;2807355292
ozon;D921010;2807355526
ozon;D921011;2807355324
ozon;M112014;2746138362
ozon;PL9001-4;1608634065
ozon;PL9014-4;1350013423
ozon;PL9008-4;846311203
ozon;PL9012-4;1165865781
ozon;PL9016-4;1056043458
ozon;TE5109L+TE5023R;1629003880
ozon;TE5020R+TE5020L;1696789471
ozon;М221024;667639591
